user_id,recipe_id,rating
5215572,17991,5
5215572,170724,4
5215572,18045,5
3622615,60598,4
1313770,47519,5
1313770,42964,5
1313770,47822,5
1313770,11815,5
1313770,12780,5
1313770,150711,5
3181149,9999,5
880574,16700,4
880574,176682,4
880574,141846,3
880574,52464,3
880574,23260,4
880574,49152,4
880574,166859,4
880574,16913,5
880574,14832,4
880574,15134,3
880574,77069,4
880574,50848,5
880574,50849,5
880574,187924,5
880574,14144,5
880574,14495,4
880574,15367,4
880574,13328,4
880574,14809,5
880574,16427,5
880574,94072,5
880574,31064,4
880574,73191,4
880574,87216,3
880574,16624,5
880574,53075,4
880574,20356,3
880574,26354,5
880574,16235,4
880574,12974,3
880574,12971,4
880574,8947,5
880574,8948,3
880574,51294,3
880574,19346,3
880574,21391,5
880574,37960,2
880574,74698,3
880574,14064,5
880574,167331,4
880574,15007,4
880574,35806,3
880574,11937,2
880574,8665,3
880574,17897,5
880574,73303,5
880574,75681,4
880574,14568,4
880574,38107,4
880574,72823,5
880574,15212,5
880574,37184,5
880574,21050,4
880574,90089,4
880574,20015,4
880574,8783,3
880574,56193,4
880574,92584,4
880574,86925,3
880574,44868,3
880574,11887,5
880574,13025,4
880574,13028,3
880574,26595,4
880574,25483,4
880574,42829,4
880574,25933,4
880574,213206,3
880574,13608,5
880574,21430,3
880574,142488,4
880574,22273,4
880574,74007,2
880574,14651,5
880574,86230,5
880574,20724,5
880574,14583,4
880574,16226,5
880574,25889,5
880574,12041,4
880574,13316,4
880574,13311,4
880574,13313,3
880574,45291,3
880574,51317,5
880574,25371,4
880574,16418,2
880574,14768,5
880574,13937,5
880574,13933,5
880574,27072,5
880574,27070,4
880574,22415,5
880574,139510,4
880574,59866,5
880574,15051,4
880574,73757,4
880574,22335,4
880574,162036,4
880574,20415,5
880574,23874,4
880574,86514,5
880574,11969,2
880574,25148,2
880574,16352,2
880574,22751,4
880574,85275,4
880574,12909,4
880574,14684,4
880574,14685,3
880574,14680,3
880574,14537,5
880574,14531,5
880574,27739,4
880574,26463,5
880574,20925,4
880574,80986,5
880574,11695,4
880574,11692,5
880574,53462,4
880574,202421,5
880574,16174,5
880574,10070,5
880574,19335,5
880574,54202,4
880574,86204,3
880574,134179,4
880574,8771,2
880574,24087,5
880574,26626,5
880574,74223,4
880574,16723,5
880574,13076,4
880574,60924,5
880574,15715,4
880574,103767,3
880574,92763,4
880574,17371,5
880574,20849,5
880574,16685,5
880574,8888,4
880574,49262,5
880574,53935,5
880574,18509,5
880574,34066,4
880574,42653,1
880574,23943,5
880574,70522,3
880574,18316,5
880574,18318,5
880574,34929,4
880574,15340,5
880574,17453,3
880574,13346,5
880574,13345,5
880574,20144,4
880574,22931,4
880574,88102,3
880574,56954,4
880574,17712,3
880574,60616,5
880574,75818,4
880574,25466,5
880574,25469,5
880574,18294,5
880574,15063,5
880574,15068,4
880574,12775,5
880574,12776,2
880574,12771,3
880574,21174,5
880574,21176,3
880574,46922,4
880574,58645,4
880574,108006,4
880574,22700,5
880574,38427,4
880574,60480,5
880574,17794,4
880574,54839,1
880574,63340,5
880574,14041,5
880574,18213,4
880574,13422,5
880574,16099,3
880574,16098,5
880574,16329,4
880574,92845,5
880574,23788,4
880574,27093,5
880574,14580,5
880574,72804,5
880574,21033,3
880574,25861,5
880574,23336,4
880574,18900,4
880574,48548,5
880574,19853,3
880574,29798,3
880574,27192,4
880574,87111,4
880574,7191,5
880574,13993,3
880574,13996,4
880574,63911,4
880574,16901,2
880574,90119,5
880574,23709,3
880574,57790,5
880574,55860,5
880574,57429,5
880574,14679,5
880574,77902,2
880574,16771,4
880574,38828,5
880574,12889,4
880574,51997,4
880574,21303,4
880574,22142,3
880574,203248,2
880574,25512,4
880574,25517,5
880574,17368,4
880574,16638,4
880574,12749,4
880574,17325,4
880574,16982,4
880574,54040,2
880574,8694,4
880574,61387,3
880574,78189,3
880574,25911,5
880574,54362,3
880574,23998,4
880574,51283,3
880574,108487,5
880574,86354,5
880574,21669,4
880574,19352,4
880574,40154,5
880574,8613,3
880574,16378,4
880574,72194,4
880574,25206,2
880574,25201,4
880574,42964,5
880574,14558,4
880574,14554,5
880574,90543,4
880574,91597,5
880574,56391,3
880574,76129,4
880574,86019,5
880574,87163,5
880574,82078,4
880574,11779,4
880574,8823,4
880574,22489,5
880574,26391,5
880574,14621,5
880574,89614,4
880574,184193,5
880574,17628,4
880574,51825,2
880574,23074,4
880574,14746,5
880574,23923,4
880574,23922,3
880574,87438,4
880574,19934,3
880574,12050,4
880574,85127,4
880574,163153,3
880574,26298,3
880574,68301,5
880574,31026,5
880574,72532,3
880574,47908,4
880574,64776,3
880574,52307,5
880574,21441,2
880574,86801,5
880574,14105,4
880574,22916,4
880574,17732,5
880574,20403,4
880574,25449,4
880574,25445,3
880574,14712,4
880574,14713,4
880574,30522,5
880574,12715,4
880574,17534,4
880574,7329,4
880574,15901,5
880574,8626,3
880574,8627,5
880574,8620,4
880574,16346,5
880574,16348,4
880574,21256,4
880574,14521,5
880574,14520,4
880574,14527,4
880574,14526,5
880574,14525,3
880574,14528,5
880574,14567,5
880574,22521,5
880574,20933,5
880574,24035,5
880574,36621,5
880574,78210,5
880574,21539,5
880574,14027,4
880574,146366,2
880574,84310,2
880574,25276,4
880574,25272,3
880574,204343,4
880574,14611,3
880574,31796,5
880574,20768,5
880574,149230,2
880574,36856,3
880574,84475,5
880574,19388,4
880574,19960,5
880574,16711,3
880574,90497,3
880574,44781,4
880574,14874,3
880574,13067,3
880574,161596,2
880574,52804,4
880574,75290,4
880574,14137,5
880574,23252,4
880574,70103,4
880574,89225,4
880574,16962,3
880574,25184,4
880574,52492,3
880574,26659,5
880574,79543,5
880574,14157,5
880574,14155,5
880574,14151,5
880574,15688,4
880574,19478,4
880574,17445,5
880574,17446,4
880574,21360,4
880574,25477,4
880574,25479,5
880574,14724,5
880574,14726,5
880574,50723,4
880574,50726,4
880574,24851,4
880574,35304,3
880574,72421,4
880574,23440,4
880574,88817,3
880574,80743,5
880574,68768,5
880574,146074,5
880574,6992,4
880574,18438,4
880574,16100,3
880574,21509,5
880574,14057,5
880574,72999,4
880574,69538,4
880574,17040,5
880574,50007,4
880574,71334,4
880574,14571,3
880574,69471,5
880574,21048,5
880574,29469,3
880574,50579,4
880574,20963,4
880574,83793,5
880574,8564,4
880574,26589,3
880574,19693,5
880574,50644,5
880574,16066,5
880574,11758,5
880574,42155,4
880574,52390,4
880574,22246,5
880574,14646,4
880574,14649,5
880574,8730,3
880574,8831,3
880574,49197,4
880574,68860,5
880574,34510,4
880574,24748,4
880574,35646,4
880574,70562,4
880574,19485,4
880574,19484,5
880574,13309,5
880574,18837,3
880574,14775,4
880574,52047,5
880574,21815,4
880574,130725,4
880574,21694,5
880574,23433,5
880574,12992,4
880574,15412,4
880574,46028,5
880574,16870,5
880574,59878,3
880574,25678,3
880574,36520,4
880574,86362,3
880574,20462,4
880574,24393,5
880574,14088,4
880574,30504,5
880574,14781,4
880574,54507,4
880574,25151,3
880574,12918,4
880574,14545,5
880574,14544,4
880574,16568,5
880574,14951,4
880574,9023,5
880574,74433,5
880574,74188,4
880574,14005,4
880574,18254,5
880574,31096,4
880574,8652,4
880574,21560,4
880574,57148,4
880574,17016,5
880574,54621,5
880574,8818,5
880574,24501,5
880574,15276,4
880574,84914,4
880574,17652,5
880574,8493,3
880574,15840,5
880574,18364,4
880574,14469,5
880574,16731,5
880574,19908,4
880574,22625,5
880574,22629,4
880574,26284,5
880574,14831,5
880574,6915,3
880574,8919,3
880574,24263,3
880574,77155,3
880574,77156,5
880574,201910,4
880574,40352,4
880574,28005,4
880574,56927,5
880574,17701,5
880574,23851,4
880574,25455,4
880574,70702,2
880574,14706,5
880574,85881,5
880574,16678,5
880574,26363,3
880574,37689,4
880574,36002,4
880574,86723,3
880574,14512,5
880574,40844,3
880574,20095,3
880574,26444,3
880574,19615,4
880574,19610,3
880574,15621,5
880574,67432,3
880574,14231,5
880574,71146,4
880574,69829,5
880574,50235,4
880574,26257,4
880574,38729,5
880574,17841,4
880574,8658,4
880574,17066,5
880574,22228,5
880574,139012,5
880574,40573,5
880574,83117,4
4053956,15633,5
4053956,12571,5
4053950,194425,5
4053950,23290,4
4053950,24825,5
4053950,59111,5
4053950,6905,4
4053950,16034,5
4053950,8932,5
4053950,15351,5
4053950,146763,4
4053950,137606,2
4053950,60037,5
4053950,19364,5
4053950,20461,5
4053950,8516,4
4053953,79470,5
4053953,7565,4
4053953,54839,5
4053953,24932,5
